"County","State","Outbreak Date","Flock Type","Flock Size"
"Spartanburg","South Carolina","12-31-2024","Commercial Upland Gamebird Producer","920"
"Butte","California","12-31-2024","WOAH Non-Poultry","70"
"Jackson","Michigan","12-31-2024","WOAH Non-Poultry","9"
"Miner","South Dakota","12-31-2024","WOAH Poultry","1500"
"Ottawa","Michigan","12-31-2024","Commercial Turkey Meat Bird","23400"
"Riverside","California","12-31-2024","Commercial Table Egg Layer","181300"
"Ottawa","Michigan","12-31-2024","Commercial Turkey Meat Bird","29400"
"Johnson","Nebraska","12-30-2024","Commercial Broiler Production","209100"
"Twin Falls","Idaho","12-30-2024","WOAH Non-Poultry","30"
"Tipton","Tennessee","12-30-2024","WOAH Non-Poultry","10"
"Copiah","Mississippi","12-30-2024","Commercial Broiler Production","210000"
"Clay","Arkansas","12-30-2024","Commercial Broiler Production","227500"
"Edmunds","South Dakota","12-30-2023","Commercial Upland Gamebird Producer","1400"
"Snohomish","Washington","12-30-2022","WOAH Poultry","180"
"Sanilac","Michigan","12-30-2022","WOAH Non-Poultry","30"
"Carson","Texas","12-29-2023","WOAH Non-Poultry","30"
"Mcintosh","North Dakota","12-29-2023","WOAH Non-Poultry","110"
"Pierce","Washington","12-29-2022","WOAH Non-Poultry","40"
"Audrain","Missouri","12-28-2023","WOAH Poultry","330"
"Sonoma","California","12-28-2023","Commercial Table Egg Layer","37300"
"Sonoma","California","12-28-2023","Commercial Table Egg Layer","52400"
"Marin","California","12-28-2023","Commercial Table Egg Pullets","151000"
"Missoula","Montana","12-28-2023","WOAH Non-Poultry","6"
"Weakley","Tennessee","12-28-2022","Commercial Broiler Breeder","43600"
"Weakley","Tennessee","12-28-2022","Commercial Broiler Breeder","19000"
"Elk","Kansas","12-28-2022","WOAH Non-Poultry","30"
"Anderson","Kansas","12-27-2024","WOAH Non-Poultry","40"
"Cooper","Missouri","12-27-2024","Commercial Turkey Breeder Hens","14900"
"Coffey","Kansas","12-27-2024","WOAH Non-Poultry","50"
"Darke","Ohio","12-27-2024","Commercial Table Egg Layer","931300"
"Burnett","Wisconsin","12-27-2024","Commercial Turkey Meat Bird","18600"
"Ottawa","Michigan","12-27-2024","Commercial Turkey Meat Bird","113200"
"Sheridan","Wyoming","12-27-2024","WOAH Non-Poultry","0"
"Sacramento","California","12-27-2024","Commercial Broiler Production","153800"
"Pemiscot","Missouri","12-27-2024","WOAH Non-Poultry","70"
"Stanislaus","California","12-27-2024","Commercial Broiler Production","101700"
"Northumberland","Pennsylvania","12-27-2023","Commercial Raised for Release Upland Game Bird","98300"
"Muskegon","Michigan","12-27-2023","Commercial Turkey Meat Bird","31500"
"Garfield","Oklahoma","12-27-2023","WOAH Non-Poultry","30"
"Hardin","Ohio","12-27-2023","Commercial Table Egg Pullets","1363900"
"Todd","Minnesota","12-27-2023","Commercial Turkey Meat Bird","78800"
"Phillips","Kansas","12-26-2024","WOAH Non-Poultry","10"
"Merced","California","12-26-2023","Commercial Table Egg Layer","709000"
"Riverside","California","12-24-2024","Commercial Table Egg Layer","1105500"
"Stanislaus","California","12-24-2024","Commercial Table Egg Layer","392100"
"Dade","Missouri","12-24-2024","WOAH Non-Poultry","90"
"Cass","Missouri","12-24-2024","WOAH Non-Poultry","60"
"San Joaquin","California","12-24-2024","Commercial Table Egg Layer","627800"
"Adair","Oklahoma","12-24-2024","Commercial Turkey Meat Bird","81400"
"Franklin","Vermont","12-24-2024","WOAH Non-Poultry","20"
"Adair","Oklahoma","12-24-2024","Commercial Turkey Meat Bird","45000"
"El Dorado","California","12-23-2024","WOAH Non-Poultry","30"
"Lawrence","Illinois","12-23-2024","Commercial Turkey Meat Bird","40300"
"Ottawa","Michigan","12-23-2024","Commercial Turkey Meat Bird","75500"
"Glenn","California","12-22-2022","Commercial Upland Gamebird Producer","32000"
"Edmunds","South Dakota","12-21-2023","Commercial Upland Gamebird Producer","3800"
"Dodge","Nebraska","12-21-2023","WOAH Non-Poultry","40"
"Weakley","Tennessee","12-21-2022","WOAH Poultry","28800"
"St. Clair","Illinois","12-21-2022","WOAH Non-Poultry","60"
"Umatilla","Oregon","12-21-2022","WOAH Non-Poultry","10"
"Bates","Missouri","12-21-2022","WOAH Non-Poultry","30"
"Houston","Minnesota","12-20-2024","WOAH Non-Poultry","60"
"Craighead","Arkansas","12-20-2024","WOAH Non-Poultry","50"
"Greene","Mississippi","12-20-2024","Commercial Broiler Breeder","26000"
"Chippewa","Minnesota","12-20-2024","Commercial Turkey Meat Bird","54800"
"Sedgwick","Kansas","12-20-2024","WOAH Non-Poultry","30"
"Cooper","Missouri","12-20-2024","Commercial Turkey Breeder Hens","13000"
"Mahaska","Iowa","12-20-2023","WOAH Non-Poultry","30"
"Merced","California","12-20-2023","Commercial Table Egg Layer","243300"
"Benton","Oregon","12-20-2023","WOAH Non-Poultry","50"
"Charles Mix","South Dakota","12-20-2023","Commercial Upland Gamebird Producer","50"
"Merced","California","12-20-2023","Commercial Turkey Meat Bird","73700"
"Hanson","South Dakota","12-20-2022","Commercial Turkey Meat Bird","31800"
"Weld","Colorado","12-20-2022","Commercial Table Egg Layer","239700"
"Gem","Idaho","12-20-2022","WOAH Non-Poultry","80"
"Kenosha","Wisconsin","12-19-2024","WOAH Poultry","6"
"Fillmore","Minnesota","12-19-2024","Commercial Turkey Meat Bird","28600"
"Stanislaus","California","12-19-2024","Commercial Table Egg Layer","295800"
"Stearns","Minnesota","12-19-2024","Commercial Turkey Meat Bird","12600"
"Cullman","Alabama","12-19-2024","Commercial Broiler Production","116000"
"Greene","Ohio","12-19-2024","WOAH Poultry","110"
"Coos","Oregon","12-19-2024","WOAH Non-Poultry","40"
"Deschutes","Oregon","12-19-2024","WOAH Non-Poultry","90"
"Pickens","Alabama","12-19-2024","WOAH Non-Poultry","50"
"Jackson","Arkansas","12-19-2024","WOAH Non-Poultry","230"
"Sonoma","California","12-19-2023","Commercial Duck Meat Bird","3600"
"Lassen","California","12-19-2023","WOAH Non-Poultry","90"
"Muskegon","Michigan","12-19-2023","Commercial Turkey Meat Bird","47900"
"Rice","Kansas","12-19-2023","Commercial Table Egg Layer","800000"
"King","Washington","12-19-2023","WOAH Poultry","90"
"Mcpherson","Kansas","12-19-2023","WOAH Poultry","20000"
"Barton","Kansas","12-19-2023","WOAH Non-Poultry","70"
"Mendocino","California","12-19-2022","WOAH Non-Poultry","20"
"Jefferson Davis","Louisiana","12-18-2024","WOAH Non-Poultry","30"
"Howard","Missouri","12-18-2024","WOAH Non-Poultry","60"
"Nelson","North Dakota","12-18-2024","WOAH Non-Poultry","60"
"Doniphan","Kansas","12-18-2024","Commercial Raised for Release Upland Game Bird","5700"
"Rooks","Kansas","12-18-2024","Commercial Raised for Release Upland Game Bird","5300"
"Rice","Kansas","12-18-2023","WOAH Non-Poultry","100"
"Sonoma","California","12-18-2023","WOAH Poultry","38100"
"Sonoma","California","12-18-2023","Commercial Table Egg Layer","497700"
